RCDT Code,District Name,Local Affiliation
11021305026,Arthur CUSD 305,IEA-NEA
11021306026,Arcola CUSD 306,IEA-NEA
11023001026,Shiloh CUSD 1,IEA-NEA
11023003026,Kansas CUSD 3,IEA-NEA
11023004026,Paris CUSD 4,IEA-NEA
11023006026,Edgar County CUD 6,IEA-NEA
11023095025,Paris-Union SD 95,IEA-NEA
11023800080,Paris Cooperative High School,IEA-NEA
11070300026,Sullivan CUSD 300,IEA-NEA
11087001026,Windsor CUSD 1,IEA-NEA
11087003A26,Cowden-Herrick CUSD 3A,IFT-AFT
11087004026,Shelbyville CUSD 4,Other: Shelbyville Education Association
11087005A26,Stewardson-Strasburg CUD 5A,IEA-NEA
11087021026,Central A & M CUD 21,IEA-NEA
12013010026,Clay City CUSD 10,IEA-NEA
12013025026,North Clay CUSD 25,IEA-NEA
12013035026,Flora CUSD 35,IEA-NEA
12017001026,Hutsonville CUSD 1,IEA-NEA
12017002026,Robinson CUSD 2,IEA-NEA
12017003026,Palestine CUSD 3,IEA-NEA
12017801060,South Eastern Sp Ed Program,IEA-NEA
12040001026,Jasper County CUD 1,IEA-NEA
12051010026,Red Hill CUSD 10,IEA-NEA
12080001026,Richland County CUSD 1,IEA-NEA
13014001026,Carlyle CUSD 1,IEA-NEA
13014003026,Wesclin CUSD 3,IEA-NEA
13014012004,Breese ESD 12,IEA-NEA
13014021002,Aviston SD 21,IEA-NEA
13014046002,Willow Grove SD 46,Independent
13014057002,Bartelso SD 57,NULL
13014060002,Germantown SD 60,IFT-AFT
13014062002,Damiansville SD 62,IFT-AFT
13014063002,Albers SD 63,IEA-NEA
13014071016,Central CHSD 71,IEA-NEA
13014141502,St Rose SD 14-15,Independent
13014186002,North Wamac SD 186,IEA-NEA
13041001026,Waltonville CUSD 1,IEA-NEA
13041002004,Rome CCSD 2,IEA-NEA
13041003004,Field CCSD 3,IEA-NEA
13041005004,Opdyke-Belle-Rive CCSD 5,IEA-NEA
13041006004,Grand Prairie CCSD 6,IEA-NEA
13041012004,McClellan CCSD 12,IEA-NEA
13041079002,Summersville SD 79,IEA-NEA
13041080002,Mount Vernon SD 80,IEA-NEA
13041082002,Bethel SD 82,IEA-NEA
13041099004,Farrington CCSD 99,NULL
13041178004,Spring Garden CCSD 178,IEA-NEA
13041201017,Mt Vernon Twp HSD 201,IEA-NEA
13041209027,Woodlawn Unit School District 209,IEA-NEA
13041318027,Bluford Unit School District 318,IEA-NEA
13041801060,Franklin-Jefferson Co Sp Ed Dist,NULL
13058001003,Raccoon Cons SD 1,IEA-NEA
13058007004,Iuka CCSD 7,IEA-NEA
13058010004,Selmaville CCSD 10,IEA-NEA
13058100026,Patoka CUSD 100,IEA-NEA
13058111002,Salem SD 111,IEA-NEA
13058133002,Central City SD 133,IEA-NEA
13058135002,Centralia SD 135,IEA-NEA
13058401026,South Central CUD 401,IEA-NEA
13058501026,Sandoval CUSD 501,IEA-NEA
13058600016,Salem CHSD 600,IEA-NEA
13058722026,Odin PSD 722,IEA-NEA
13095001004,Oakdale CCSD 1,Independent
13095010026,West Washington Co CUD 10,IEA-NEA
13095011004,Irvington CCSD 11,IEA-NEA
13095015004,Ashley CCSD 15,IEA-NEA
13095049004,Nashville CCSD 49,IEA-NEA
13095099016,Nashville CHSD 99,IFT-AFT
15016299025,Chicago Public Schools Dist 299,CTU (IFT-AFT)
15016900025,Horizon Science Acad-McKinley Pk,NULL
15016901025,Horizon Science Acad-Belmont,NULL
15016902025,ACE Amandla Charter School,NULL
15016904025,Betty Shabazz  Internl Chrtr Sch,NULL
15016905025,Intrinsic 2 Charter High School,NULL
16000000046,Kishwaukee Educ Consortium,NULL
16019424026,Genoa Kingston CUSD 424,IEA-NEA
16019425026,Indian Creek CUSD 425,IEA-NEA
16019426026,Hiawatha CUSD 426,IEA-NEA
16019427026,Sycamore CUSD 427,IEA-NEA
16019427061,Northwestern Illinois Assn,NULL
16019428026,DeKalb CUSD 428,IFT-AFT
16019429026,Hinckley Big Rock CUSD 429,NULL
16019430026,Sandwich CUSD 430,IEA-NEA
16019432026,Somonauk CUSD 432,IEA-NEA
17020015026,Clinton CUSD 15,IEA-NEA
17020018026,Blue Ridge CUSD 18,IFT-AFT
17053000061,Livingston Co Spec Services Unit,IEA-NEA
17053005026,Woodland CUSD 5,IEA-NEA
17053006J26,Tri Point CUSD 6-J,IEA-NEA
17053008026,Prairie Central CUSD 8,IEA-NEA
17053074027,Flanagan-Cornell Dist 74,IEA-NEA
17053090017,Pontiac Twp HSD 90,IEA-NEA
17053230017,Dwight Twp HSD 230,IEA-NEA
17053232002,Dwight Common SD 232,IEA-NEA
17053425004,Rooks Creek CCSD 425,NULL
17053426004,Cornell CCSD 426,IEA-NEA
17053429004,Pontiac CCSD 429,NULL
17053435004,Odell CCSD 435,IFT-AFT
17053438004,Saunemin CCSD 438,IEA-NEA
17054021026,Hartsburg Emden CUSD 21,IEA-NEA
17054023026,Mt Pulaski CUSD 23,IEA-NEA
17054027002,Lincoln ESD 27,IEA-NEA
17054061004,Chester-East Lincoln CCSD 61,IEA-NEA
17054088002,New Holland-Middletown ED 88,IEA-NEA
17054092004,West Lincoln-Broadwell ESD 92,IEA-NEA
